TOPIC,CAPTION
Mirror Selfie,Objects in mirror are closer than they appear.
Mirror Selfie,"If you can't see anything beautiful in yourself, get a better mirror."
Mirror Selfie,"Mirrors show us what we look like, not who we are."
Mirror Selfie,Carve out time for reflection.
Mirror Selfie,"Life is like a mirror, we get the best results when we smile."
Mirror Selfie,"Where there's a mirror, there's a selfie opportunity."
Mirror Selfie,I don't dress up to impress others. I dress up to stare at my reflection as I walk by mirrors and windows.
Mirror Selfie,I cleaned the bathroom to take this selfie.
Mirror Selfie,"Life isn't perfect, but at least your outfit can be."
Mirror Selfie,I hate it when I'm about to hug someone really gorgeous and my face hits the mirror.
Mirror Selfie,"I don't take selfies all the time, just every day."
Mirror Selfie,My mirror and my camera have two completely different ideas of what I look like.
Mirror Selfie,Today's definitely not one of those days where I try to avoid the mirror.
